"","Date","Price","Location","HHDate","HHPrice","TianjinDate","TianjinPrice"
"1",2013-05-05,4.02,"Tianjin",2013-10-25,3.56,2013-05-05,4.02
"2",2013-05-10,4.04,"Tianjin",2013-10-20,3.93,2013-05-10,4.04
"3",2013-05-30,4,"Tianjin",2013-10-15,3.89,2013-05-30,4
"4",2013-06-09,3.88,"Tianjin",2013-10-11,4.01,2013-06-09,3.88
"5",2013-06-24,3.99,"Tianjin",2013-10-05,3.8,2013-06-24,3.99
"6",2013-07-04,3.92,"Tianjin",2013-09-30,3.71,2013-07-04,3.92
"7",2013-07-09,3.95,"Tianjin",2013-09-25,3.77,2013-07-09,3.95
"8",2013-07-14,3.92,"Tianjin",2013-09-20,4.07,2013-07-14,3.92
"9",2013-07-19,3.93,"Tianjin",2013-09-14,3.84,2013-07-19,3.93
"10",2013-07-24,3.99,"Tianjin",2013-09-10,3.85,2013-07-24,3.99
"11",2013-08-03,4,"Tianjin",2013-09-05,3.82,2013-08-03,4
"12",2013-08-08,4.05,"Tianjin",2013-08-31,3.59,2013-08-08,4.05
"13",2013-08-13,4.01,"Tianjin",2013-08-25,3.98,2013-08-13,4.01
"14",2013-08-23,4.04,"Tianjin",2013-08-21,3.85,2013-08-23,4.04
"15",2013-08-28,4.05,"Tianjin",2013-08-16,3.7,2013-08-28,4.05
"16",2013-09-02,3.99,"Tianjin",2013-08-11,3.7,2013-09-02,3.99
"17",2013-09-07,4.05,"Tianjin",2013-08-06,3.58,2013-09-07,4.05
"18",2013-09-12,4.04,"Tianjin",2013-08-01,3.68,2013-09-12,4.04
"19",2013-09-22,4.04,"Tianjin",2013-07-27,3.69,2013-09-22,4.04
"20",2013-09-27,4.01,"Tianjin",2013-07-22,3.65,2013-09-27,4.01
"21",2013-10-02,4,"Tianjin",2013-07-17,3.64,2013-10-02,4
"22",2013-10-12,3.98,"Tianjin",2013-07-12,3.93,2013-10-12,3.98
"23",2013-10-17,4.01,"Tianjin",2013-07-07,4.04,2013-10-17,4.01
"24",2013-10-24,4.05,"Tianjin",2013-07-02,3.75,2013-10-24,4.05
"25",2013-10-30,3.9,"Tianjin",2013-06-27,3.52,2013-10-30,3.9
"26",2013-10-25,3.56,"HenryHub",2013-06-22,3.79,NA,NA
"27",2013-10-20,3.93,"HenryHub",2013-06-17,3.79,NA,NA
"28",2013-10-15,3.89,"HenryHub",2013-06-12,3.83,NA,NA
"29",2013-10-11,4.01,"HenryHub",2013-06-07,3.9,NA,NA
"30",2013-10-05,3.8,"HenryHub",2013-06-02,3.91,NA,NA
"31",2013-09-30,3.71,"HenryHub",2013-05-28,3.9,NA,NA
"32",2013-09-25,3.77,"HenryHub",2013-05-23,3.69,NA,NA
"33",2013-09-20,4.07,"HenryHub",2013-05-18,3.77,NA,NA
"34",2013-09-14,3.84,"HenryHub",2013-05-13,3.93,NA,NA
"35",2013-09-10,3.85,"HenryHub",2013-05-09,3.67,NA,NA
"36",2013-09-05,3.82,"HenryHub",2013-05-04,3.92,NA,NA
"37",2013-08-31,3.59,"HenryHub",NA,NA,NA,NA
"38",2013-08-25,3.98,"HenryHub",NA,NA,NA,NA
"39",2013-08-21,3.85,"HenryHub",NA,NA,NA,NA
"40",2013-08-16,3.7,"HenryHub",NA,NA,NA,NA
"41",2013-08-11,3.7,"HenryHub",NA,NA,NA,NA
"42",2013-08-06,3.58,"HenryHub",NA,NA,NA,NA
"43",2013-08-01,3.68,"HenryHub",NA,NA,NA,NA
"44",2013-07-27,3.69,"HenryHub",NA,NA,NA,NA
"45",2013-07-22,3.65,"HenryHub",NA,NA,NA,NA
"46",2013-07-17,3.64,"HenryHub",NA,NA,NA,NA
"47",2013-07-12,3.93,"HenryHub",NA,NA,NA,NA
"48",2013-07-07,4.04,"HenryHub",NA,NA,NA,NA
"49",2013-07-02,3.75,"HenryHub",NA,NA,NA,NA
"50",2013-06-27,3.52,"HenryHub",NA,NA,NA,NA
"51",2013-06-22,3.79,"HenryHub",NA,NA,NA,NA
"52",2013-06-17,3.79,"HenryHub",NA,NA,NA,NA
"53",2013-06-12,3.83,"HenryHub",NA,NA,NA,NA
"54",2013-06-07,3.9,"HenryHub",NA,NA,NA,NA
"55",2013-06-02,3.91,"HenryHub",NA,NA,NA,NA
"56",2013-05-28,3.9,"HenryHub",NA,NA,NA,NA
"57",2013-05-23,3.69,"HenryHub",NA,NA,NA,NA
"58",2013-05-18,3.77,"HenryHub",NA,NA,NA,NA
"59",2013-05-13,3.93,"HenryHub",NA,NA,NA,NA
"60",2013-05-09,3.67,"HenryHub",NA,NA,NA,NA
"61",2013-05-04,3.92,"HenryHub",NA,NA,NA,NA
