"","TianjinBuild","HHBuild","Build","Location"
"1","Build","Build","Build","HenryHub"
"2","No","Build","Build","HenryHub"
"3","No","Build","Build","HenryHub"
"4","No","Build","Build","HenryHub"
"5","No","Build","Build","HenryHub"
"6","Build","Build","Build","HenryHub"
"7","No","No","No","HenryHub"
"8","Build","Build","Build","HenryHub"
"9","No","No","No","HenryHub"
"10","Build","Build","Build","HenryHub"
"11","No","Build","Build","HenryHub"
"12","Build","Build","Build","HenryHub"
"13","Build","No","No","HenryHub"
"14","Build","Build","Build","HenryHub"
"15","Build","Build","Build","HenryHub"
"16","No","Build","Build","HenryHub"
"17","Build","No","No","HenryHub"
"18","No","Build","Build","HenryHub"
"19","No","Build","Build","HenryHub"
"20","No","Build","Build","HenryHub"
"21","Build","Build","Build","HenryHub"
"22","Build","Build","Build","HenryHub"
"23","Build","Build","Build","HenryHub"
"24","Build","Build","Build","HenryHub"
"25","No","Build","Build","HenryHub"
"26","No","Build","Build","HenryHub"
"27","Build","Build","Build","HenryHub"
"28","No","No","No","HenryHub"
"29","Build","No","No","HenryHub"
"30","Build","Build","Build","HenryHub"
"31","Build","Build","Build","HenryHub"
"32","No","Build","Build","HenryHub"
"33","Build","No","No","HenryHub"
"34","Build","Build","Build","HenryHub"
"35","No","No","No","HenryHub"
"36","No","Build","Build","HenryHub"
"37","Build","Build","Build","HenryHub"
"38","No","Build","Build","HenryHub"
"39","Build","Build","Build","HenryHub"
"40","No","Build","Build","HenryHub"
"41","No","Build","Build","HenryHub"
"42","No","Build","Build","HenryHub"
"43","Build","Build","Build","HenryHub"
"44","Build","Build","Build","HenryHub"
"45","No","Build","Build","HenryHub"
"46","No","No","No","HenryHub"
"47","Build","Build","Build","HenryHub"
"48","No","Build","Build","HenryHub"
"49","No","Build","Build","HenryHub"
"50","No","Build","Build","HenryHub"
"51","Build","Build","Build","HenryHub"
"52","Build","Build","Build","HenryHub"
"53","No","Build","Build","HenryHub"
"54","No","Build","Build","HenryHub"
"55","Build","No","No","HenryHub"
"56","Build","Build","Build","HenryHub"
"57","Build","Build","Build","HenryHub"
"58","No","Build","Build","HenryHub"
"59","No","No","No","HenryHub"
"60","Build","Build","Build","HenryHub"
"61","Build","Build","Build","HenryHub"
"62","No","Build","Build","HenryHub"
"63","No","Build","Build","HenryHub"
"64","No","No","No","HenryHub"
"65",NA,"Build","Build","HenryHub"
"66",NA,"Build","Build","HenryHub"
"67",NA,"Build","Build","HenryHub"
"68",NA,"Build","Build","HenryHub"
"69",NA,"Build","Build","HenryHub"
"70",NA,"Build","Build","HenryHub"
"71",NA,"No","No","HenryHub"
"72",NA,"Build","Build","HenryHub"
"73",NA,"Build","Build","HenryHub"
"74",NA,"No","No","HenryHub"
"75",NA,"Build","Build","HenryHub"
"76",NA,"No","No","HenryHub"
"77",NA,"Build","Build","HenryHub"
"78",NA,"Build","Build","HenryHub"
"79",NA,"Build","Build","HenryHub"
"80",NA,"Build","Build","HenryHub"
"81",NA,"Build","Build","HenryHub"
"82",NA,NA,"Build","Tianjin"
"83",NA,NA,"No","Tianjin"
"84",NA,NA,"No","Tianjin"
"85",NA,NA,"No","Tianjin"
"86",NA,NA,"No","Tianjin"
"87",NA,NA,"Build","Tianjin"
"88",NA,NA,"No","Tianjin"
"89",NA,NA,"Build","Tianjin"
"90",NA,NA,"No","Tianjin"
"91",NA,NA,"Build","Tianjin"
"92",NA,NA,"No","Tianjin"
"93",NA,NA,"Build","Tianjin"
"94",NA,NA,"Build","Tianjin"
"95",NA,NA,"Build","Tianjin"
"96",NA,NA,"Build","Tianjin"
"97",NA,NA,"No","Tianjin"
"98",NA,NA,"Build","Tianjin"
"99",NA,NA,"No","Tianjin"
"100",NA,NA,"No","Tianjin"
"101",NA,NA,"No","Tianjin"
"102",NA,NA,"Build","Tianjin"
"103",NA,NA,"Build","Tianjin"
"104",NA,NA,"Build","Tianjin"
"105",NA,NA,"Build","Tianjin"
"106",NA,NA,"No","Tianjin"
"107",NA,NA,"No","Tianjin"
"108",NA,NA,"Build","Tianjin"
"109",NA,NA,"No","Tianjin"
"110",NA,NA,"Build","Tianjin"
"111",NA,NA,"Build","Tianjin"
"112",NA,NA,"Build","Tianjin"
"113",NA,NA,"No","Tianjin"
"114",NA,NA,"Build","Tianjin"
"115",NA,NA,"Build","Tianjin"
"116",NA,NA,"No","Tianjin"
"117",NA,NA,"No","Tianjin"
"118",NA,NA,"Build","Tianjin"
"119",NA,NA,"No","Tianjin"
"120",NA,NA,"Build","Tianjin"
"121",NA,NA,"No","Tianjin"
"122",NA,NA,"No","Tianjin"
"123",NA,NA,"No","Tianjin"
"124",NA,NA,"Build","Tianjin"
"125",NA,NA,"Build","Tianjin"
"126",NA,NA,"No","Tianjin"
"127",NA,NA,"No","Tianjin"
"128",NA,NA,"Build","Tianjin"
"129",NA,NA,"No","Tianjin"
"130",NA,NA,"No","Tianjin"
"131",NA,NA,"No","Tianjin"
"132",NA,NA,"Build","Tianjin"
"133",NA,NA,"Build","Tianjin"
"134",NA,NA,"No","Tianjin"
"135",NA,NA,"No","Tianjin"
"136",NA,NA,"Build","Tianjin"
"137",NA,NA,"Build","Tianjin"
"138",NA,NA,"Build","Tianjin"
"139",NA,NA,"No","Tianjin"
"140",NA,NA,"No","Tianjin"
"141",NA,NA,"Build","Tianjin"
"142",NA,NA,"Build","Tianjin"
"143",NA,NA,"No","Tianjin"
"144",NA,NA,"No","Tianjin"
"145",NA,NA,"No","Tianjin"
