"","Period","TianjinForecast","HenryHubForecast","Forecast","Location"
"1",1,2894143,3098422,3098422,"HenryHub"
"2",2,3436784,3606300,3606300,"HenryHub"
"3",3,4101907,4413385,4413385,"HenryHub"
"4",4,4351314,4567793,4567793,"HenryHub"
"5",5,2351514,2798252,2798252,"HenryHub"
"6",6,2270174,2740368,2740368,"HenryHub"
"7",7,5452294,5756915,5756915,"HenryHub"
"8",8,5259389,5650688,5650688,"HenryHub"
"9",9,4038561,4267043,4267043,"HenryHub"
"10",10,2882140,3296090,3296090,"HenryHub"
"11",11,6404078,6778847,6778847,"HenryHub"
"12",12,2363443,2684719,2684719,"HenryHub"
"13",13,5670960,5970096,5970096,"HenryHub"
"14",14,1818329,2156440,2156440,"HenryHub"
"15",15,3033642,3195131,3195131,"HenryHub"
"16",16,3203306,3618057,3618057,"HenryHub"
"17",17,4208041,4735241,4735241,"HenryHub"
"18",18,5541472,5867650,5867650,"HenryHub"
"19",19,2252344,2562005,2562005,"HenryHub"
"20",20,1604932,1879944,1879944,"HenryHub"
"21",21,3456988,3663712,3663712,"HenryHub"
"22",22,4421606,4837979,4837979,"HenryHub"
"23",23,6761850,7071457,7071457,"HenryHub"
"24",24,5148802,5393938,5393938,"HenryHub"
"25",25,4871142,5310069,5310069,"HenryHub"
"26",26,1924523,2310512,2310512,"HenryHub"
"27",27,1815230,1965588,1965588,"HenryHub"
"28",28,5748518,6162814,6162814,"HenryHub"
"29",29,5149951,5455554,5455554,"HenryHub"
"30",30,2280916,2564360,2564360,"HenryHub"
"31",31,5505182,5926260,5926260,"HenryHub"
"32",32,1994935,2398289,2398289,"HenryHub"
"33",33,6623336,7166874,7166874,"HenryHub"
"34",34,6510467,6976819,6976819,"HenryHub"
"35",35,4928639,5394053,5394053,"HenryHub"
"36",36,2203393,2568165,2568165,"HenryHub"
"37",37,5419757,5672726,5672726,"HenryHub"
"38",38,5177381,5477587,5477587,"HenryHub"
"39",39,3942133,4468600,4468600,"HenryHub"
"40",40,2290494,2645540,2645540,"HenryHub"
"41",41,1525784,1712033,1712033,"HenryHub"
"42",42,3772579,4217897,4217897,"HenryHub"
"43",43,6171272,6495690,6495690,"HenryHub"
"44",44,3654803,3922418,3922418,"HenryHub"
"45",45,2018557,2337244,2337244,"HenryHub"
"46",46,3091920,3517452,3517452,"HenryHub"
"47",47,2768268,3044256,3044256,"HenryHub"
"48",48,2687385,3038180,3038180,"HenryHub"
"49",49,4195901,4475113,4475113,"HenryHub"
"50",50,6028336,6564413,6564413,"HenryHub"
"51",51,3644003,3985750,3985750,"HenryHub"
"52",52,1877885,2247965,2247965,"HenryHub"
"53",1,NA,NA,2894143,"Tianjin"
"54",2,NA,NA,3436784,"Tianjin"
"55",3,NA,NA,4101907,"Tianjin"
"56",4,NA,NA,4351314,"Tianjin"
"57",5,NA,NA,2351514,"Tianjin"
"58",6,NA,NA,2270174,"Tianjin"
"59",7,NA,NA,5452294,"Tianjin"
"60",8,NA,NA,5259389,"Tianjin"
"61",9,NA,NA,4038561,"Tianjin"
"62",10,NA,NA,2882140,"Tianjin"
"63",11,NA,NA,6404078,"Tianjin"
"64",12,NA,NA,2363443,"Tianjin"
"65",13,NA,NA,5670960,"Tianjin"
"66",14,NA,NA,1818329,"Tianjin"
"67",15,NA,NA,3033642,"Tianjin"
"68",16,NA,NA,3203306,"Tianjin"
"69",17,NA,NA,4208041,"Tianjin"
"70",18,NA,NA,5541472,"Tianjin"
"71",19,NA,NA,2252344,"Tianjin"
"72",20,NA,NA,1604932,"Tianjin"
"73",21,NA,NA,3456988,"Tianjin"
"74",22,NA,NA,4421606,"Tianjin"
"75",23,NA,NA,6761850,"Tianjin"
"76",24,NA,NA,5148802,"Tianjin"
"77",25,NA,NA,4871142,"Tianjin"
"78",26,NA,NA,1924523,"Tianjin"
"79",27,NA,NA,1815230,"Tianjin"
"80",28,NA,NA,5748518,"Tianjin"
"81",29,NA,NA,5149951,"Tianjin"
"82",30,NA,NA,2280916,"Tianjin"
"83",31,NA,NA,5505182,"Tianjin"
"84",32,NA,NA,1994935,"Tianjin"
"85",33,NA,NA,6623336,"Tianjin"
"86",34,NA,NA,6510467,"Tianjin"
"87",35,NA,NA,4928639,"Tianjin"
"88",36,NA,NA,2203393,"Tianjin"
"89",37,NA,NA,5419757,"Tianjin"
"90",38,NA,NA,5177381,"Tianjin"
"91",39,NA,NA,3942133,"Tianjin"
"92",40,NA,NA,2290494,"Tianjin"
"93",41,NA,NA,1525784,"Tianjin"
"94",42,NA,NA,3772579,"Tianjin"
"95",43,NA,NA,6171272,"Tianjin"
"96",44,NA,NA,3654803,"Tianjin"
"97",45,NA,NA,2018557,"Tianjin"
"98",46,NA,NA,3091920,"Tianjin"
"99",47,NA,NA,2768268,"Tianjin"
"100",48,NA,NA,2687385,"Tianjin"
"101",49,NA,NA,4195901,"Tianjin"
"102",50,NA,NA,6028336,"Tianjin"
"103",51,NA,NA,3644003,"Tianjin"
"104",52,NA,NA,1877885,"Tianjin"
