County,Cases 1,Total deaths2,Negative tests3,date,Scraped.date
Baker,30,0,967,2020-08-02,2020-08-02
Benton,155,6,8241,2020-08-02,2020-08-02
Clackamas,1401,36,38215,2020-08-02,2020-08-02
Clatsop,80,0,3503,2020-08-02,2020-08-02
Columbia,78,0,4311,2020-08-02,2020-08-02
Coos,84,0,3930,2020-08-02,2020-08-02
Crook,43,1,1702,2020-08-02,2020-08-02
Curry,14,0,1015,2020-08-02,2020-08-02
Deschutes,537,8,17807,2020-08-02,2020-08-02
Douglas,132,1,7830,2020-08-02,2020-08-02
Gilliam,4,0,157,2020-08-02,2020-08-02
Grant,2,0,508,2020-08-02,2020-08-02
Harney,8,0,552,2020-08-02,2020-08-02
Hood River,169,0,3581,2020-08-02,2020-08-02
Jackson,385,1,18767,2020-08-02,2020-08-02
Jefferson,310,3,3110,2020-08-02,2020-08-02
Josephine,105,1,6658,2020-08-02,2020-08-02
Klamath,194,1,6963,2020-08-02,2020-08-02
Lake,32,0,484,2020-08-02,2020-08-02
Lane,518,3,40792,2020-08-02,2020-08-02
Lincoln,391,9,6664,2020-08-02,2020-08-02
Linn,248,10,10547,2020-08-02,2020-08-02
Malheur,673,10,3139,2020-08-02,2020-08-02
Marion,2667,67,29510,2020-08-02,2020-08-02
Morrow,304,1,1098,2020-08-02,2020-08-02
Multnomah,4450,92,86841,2020-08-02,2020-08-02
Polk,288,12,4825,2020-08-02,2020-08-02
Sherman,14,0,243,2020-08-02,2020-08-02
Tillamook,28,0,2007,2020-08-02,2020-08-02
Umatilla,1996,24,8897,2020-08-02,2020-08-02
Union,388,2,2412,2020-08-02,2020-08-02
Wallowa,19,1,665,2020-08-02,2020-08-02
Wasco,161,3,3268,2020-08-02,2020-08-02
Washington,2830,23,55952,2020-08-02,2020-08-02
Wheeler,0,0,137,2020-08-02,2020-08-02
Yamhill,359,11,9262,2020-08-02,2020-08-02
Total,19097,326,394560,2020-08-02,2020-08-02
Baker,30,0,950,2020-08-01,2020-08-01
Benton,154,6,8215,2020-08-01,2020-08-01
Clackamas,1377,36,37968,2020-08-01,2020-08-01
Clatsop,78,0,3479,2020-08-01,2020-08-01
Columbia,78,0,4280,2020-08-01,2020-08-01
Coos,84,0,3905,2020-08-01,2020-08-01
Crook,43,1,1677,2020-08-01,2020-08-01
Curry,14,0,1013,2020-08-01,2020-08-01
Deschutes,530,8,17546,2020-08-01,2020-08-01
Douglas,128,1,7754,2020-08-01,2020-08-01
Gilliam,4,0,157,2020-08-01,2020-08-01
Grant,2,0,504,2020-08-01,2020-08-01
Harney,8,0,550,2020-08-01,2020-08-01
Hood River,165,0,3558,2020-08-01,2020-08-01
Jackson,370,1,18583,2020-08-01,2020-08-01
Jefferson,303,3,3076,2020-08-01,2020-08-01
Josephine,103,1,6597,2020-08-01,2020-08-01
Klamath,194,1,6897,2020-08-01,2020-08-01
Lake,32,0,482,2020-08-01,2020-08-01
Lane,511,3,40262,2020-08-01,2020-08-01
Lincoln,391,9,6657,2020-08-01,2020-08-01
Linn,244,10,10493,2020-08-01,2020-08-01
Malheur,663,9,3125,2020-08-01,2020-08-01
Marion,2614,67,29101,2020-08-01,2020-08-01
Morrow,296,1,1078,2020-08-01,2020-08-01
Multnomah,4403,92,86036,2020-08-01,2020-08-01
Polk,286,12,4771,2020-08-01,2020-08-01
Sherman,13,0,241,2020-08-01,2020-08-01
Tillamook,24,0,1984,2020-08-01,2020-08-01
Umatilla,1977,24,8827,2020-08-01,2020-08-01
Union,388,2,2407,2020-08-01,2020-08-01
Wallowa,19,1,664,2020-08-01,2020-08-01
Wasco,158,3,3251,2020-08-01,2020-08-01
Washington,2783,23,55434,2020-08-01,2020-08-01
Wheeler,0,0,137,2020-08-01,2020-08-01
Yamhill,350,11,9140,2020-08-01,2020-08-01
Total,18817,325,390799,2020-08-01,2020-08-01
