County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,38,0,1066,2020-08-09,2020-08-09
Benton,169,6,8723,2020-08-09,2020-08-09
Clackamas,1538,40,40686,2020-08-09,2020-08-09
Clatsop,85,0,3834,2020-08-09,2020-08-09
Columbia,96,0,4611,2020-08-09,2020-08-09
Coos,91,0,4131,2020-08-09,2020-08-09
Crook,47,1,1799,2020-08-09,2020-08-09
Curry,15,0,1072,2020-08-09,2020-08-09
Deschutes,604,10,19219,2020-08-09,2020-08-09
Douglas,151,1,8432,2020-08-09,2020-08-09
Gilliam,4,0,199,2020-08-09,2020-08-09
Grant,4,0,549,2020-08-09,2020-08-09
Harney,10,0,585,2020-08-09,2020-08-09
Hood River,191,0,3839,2020-08-09,2020-08-09
Jackson,465,2,19913,2020-08-09,2020-08-09
Jefferson,360,4,3440,2020-08-09,2020-08-09
Josephine,115,2,7103,2020-08-09,2020-08-09
Klamath,201,2,7521,2020-08-09,2020-08-09
Lake,32,0,535,2020-08-09,2020-08-09
Lane,585,3,43952,2020-08-09,2020-08-09
Lincoln,416,9,6931,2020-08-09,2020-08-09
Linn,281,10,11210,2020-08-09,2020-08-09
Malheur,783,14,3448,2020-08-09,2020-08-09
Marion,2911,70,32122,2020-08-09,2020-08-09
Morrow,357,3,1228,2020-08-09,2020-08-09
Multnomah,4917,95,94631,2020-08-09,2020-08-09
Polk,313,12,5389,2020-08-09,2020-08-09
Sherman,16,0,270,2020-08-09,2020-08-09
Tillamook,34,0,2143,2020-08-09,2020-08-09
Umatilla,2290,28,9523,2020-08-09,2020-08-09
Union,394,2,2530,2020-08-09,2020-08-09
Wallowa,19,1,713,2020-08-09,2020-08-09
Wasco,192,3,3729,2020-08-09,2020-08-09
Washington,3088,25,60176,2020-08-09,2020-08-09
Wheeler,0,0,139,2020-08-09,2020-08-09
Yamhill,460,13,10373,2020-08-09,2020-08-09
Total,21272,356,425765,2020-08-09,2020-08-09
Baker,38,0,1061,2020-08-08,2020-08-08
Benton,169,6,8700,2020-08-08,2020-08-08
Clackamas,1523,40,40376,2020-08-08,2020-08-08
Clatsop,85,0,3805,2020-08-08,2020-08-08
Columbia,94,0,4579,2020-08-08,2020-08-08
Coos,91,0,4106,2020-08-08,2020-08-08
Crook,47,1,1788,2020-08-08,2020-08-08
Curry,15,0,1069,2020-08-08,2020-08-08
Deschutes,596,10,19007,2020-08-08,2020-08-08
Douglas,150,1,8364,2020-08-08,2020-08-08
Gilliam,4,0,197,2020-08-08,2020-08-08
Grant,4,0,543,2020-08-08,2020-08-08
Harney,10,0,584,2020-08-08,2020-08-08
Hood River,184,0,3799,2020-08-08,2020-08-08
Jackson,461,2,19781,2020-08-08,2020-08-08
Jefferson,355,4,3426,2020-08-08,2020-08-08
Josephine,114,2,7011,2020-08-08,2020-08-08
Klamath,201,2,7496,2020-08-08,2020-08-08
Lake,32,0,533,2020-08-08,2020-08-08
Lane,579,3,43621,2020-08-08,2020-08-08
Lincoln,414,9,6926,2020-08-08,2020-08-08
Linn,277,10,11155,2020-08-08,2020-08-08
Malheur,768,14,3441,2020-08-08,2020-08-08
Marion,2883,70,31940,2020-08-08,2020-08-08
Morrow,354,3,1209,2020-08-08,2020-08-08
Multnomah,4849,94,93607,2020-08-08,2020-08-08
Polk,313,12,5293,2020-08-08,2020-08-08
Sherman,16,0,265,2020-08-08,2020-08-08
Tillamook,34,0,2125,2020-08-08,2020-08-08
Umatilla,2251,28,9449,2020-08-08,2020-08-08
Union,394,2,2530,2020-08-08,2020-08-08
Wallowa,19,1,711,2020-08-08,2020-08-08
Wasco,189,3,3702,2020-08-08,2020-08-08
Washington,3047,25,59724,2020-08-08,2020-08-08
Wheeler,0,0,139,2020-08-08,2020-08-08
Yamhill,450,13,10296,2020-08-08,2020-08-08
Total,21010,355,422358,2020-08-08,2020-08-08
