County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,13,0,715,2020-07-19,2020-07-19
Benton,128,6,7164,2020-07-19,2020-07-19
Clackamas,1130,30,31211,2020-07-19,2020-07-19
Clatsop,62,0,3058,2020-07-19,2020-07-19
Columbia,61,0,3679,2020-07-19,2020-07-19
Coos,69,0,3276,2020-07-19,2020-07-19
Crook,27,1,1298,2020-07-19,2020-07-19
Curry,10,0,849,2020-07-19,2020-07-19
Deschutes,352,1,13896,2020-07-19,2020-07-19
Douglas,85,1,6445,2020-07-19,2020-07-19
Gilliam,2,0,135,2020-07-19,2020-07-19
Grant,1,0,440,2020-07-19,2020-07-19
Harney,2,0,476,2020-07-19,2020-07-19
Hood River,130,0,3064,2020-07-19,2020-07-19
Jackson,238,0,15290,2020-07-19,2020-07-19
Jefferson,199,0,2538,2020-07-19,2020-07-19
Josephine,70,1,5494,2020-07-19,2020-07-19
Klamath,150,1,6047,2020-07-19,2020-07-19
Lake,28,0,373,2020-07-19,2020-07-19
Lane,394,3,31856,2020-07-19,2020-07-19
Lincoln,369,8,5528,2020-07-19,2020-07-19
Linn,200,10,8709,2020-07-19,2020-07-19
Malheur,489,5,2578,2020-07-19,2020-07-19
Marion,2140,60,23519,2020-07-19,2020-07-19
Morrow,194,1,905,2020-07-19,2020-07-19
Multnomah,3486,75,71640,2020-07-19,2020-07-19
Polk,205,12,3691,2020-07-19,2020-07-19
Sherman,8,0,203,2020-07-19,2020-07-19
Tillamook,23,0,1733,2020-07-19,2020-07-19
Umatilla,1340,9,6624,2020-07-19,2020-07-19
Union,383,2,2092,2020-07-19,2020-07-19
Wallowa,18,1,550,2020-07-19,2020-07-19
Wasco,130,3,2767,2020-07-19,2020-07-19
Washington,2208,21,45340,2020-07-19,2020-07-19
Wheeler,0,0,131,2020-07-19,2020-07-19
Yamhill,235,9,7697,2020-07-19,2020-07-19
Total,14579,260,321011,2020-07-19,2020-07-19
Baker,13,0,698,2020-07-18,2020-07-18
Benton,128,6,7136,2020-07-18,2020-07-18
Clackamas,1111,30,30895,2020-07-18,2020-07-18
Clatsop,62,0,2995,2020-07-18,2020-07-18
Columbia,61,0,3630,2020-07-18,2020-07-18
Coos,67,0,3265,2020-07-18,2020-07-18
Crook,22,1,1285,2020-07-18,2020-07-18
Curry,9,0,845,2020-07-18,2020-07-18
Deschutes,339,1,13670,2020-07-18,2020-07-18
Douglas,82,1,6354,2020-07-18,2020-07-18
Gilliam,2,0,134,2020-07-18,2020-07-18
Grant,1,0,440,2020-07-18,2020-07-18
Harney,2,0,473,2020-07-18,2020-07-18
Hood River,124,0,3050,2020-07-18,2020-07-18
Jackson,222,0,15127,2020-07-18,2020-07-18
Jefferson,185,0,2503,2020-07-18,2020-07-18
Josephine,66,1,5446,2020-07-18,2020-07-18
Klamath,150,1,5983,2020-07-18,2020-07-18
Lake,27,0,374,2020-07-18,2020-07-18
Lane,384,3,31336,2020-07-18,2020-07-18
Lincoln,368,8,5462,2020-07-18,2020-07-18
Linn,196,10,8665,2020-07-18,2020-07-18
Malheur,478,5,2545,2020-07-18,2020-07-18
Marion,2093,58,23014,2020-07-18,2020-07-18
Morrow,186,1,875,2020-07-18,2020-07-18
Multnomah,3369,74,70650,2020-07-18,2020-07-18
Polk,200,12,3652,2020-07-18,2020-07-18
Sherman,8,0,202,2020-07-18,2020-07-18
Tillamook,23,0,1706,2020-07-18,2020-07-18
Umatilla,1262,9,6433,2020-07-18,2020-07-18
Union,383,2,2096,2020-07-18,2020-07-18
Wallowa,17,1,542,2020-07-18,2020-07-18
Wasco,129,3,2760,2020-07-18,2020-07-18
Washington,2151,21,44735,2020-07-18,2020-07-18
Wheeler,0,0,131,2020-07-18,2020-07-18
Yamhill,229,9,7537,2020-07-18,2020-07-18
Total,14149,257,316644,2020-07-18,2020-07-18
