County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,1,0,466,2020-06-27,2020-06-27
Benton,82,5,5996,2020-06-27,2020-06-27
Clackamas,681,24,21297,2020-06-27,2020-06-27
Clatsop,48,0,2255,2020-06-27,2020-06-27
Columbia,28,0,2552,2020-06-27,2020-06-27
Coos,40,0,2521,2020-06-27,2020-06-27
Crook,10,0,971,2020-06-27,2020-06-27
Curry,7,0,650,2020-06-27,2020-06-27
Deschutes,162,0,10044,2020-06-27,2020-06-27
Douglas,38,0,4713,2020-06-27,2020-06-27
Gilliam,0,0,87,2020-06-27,2020-06-27
Grant,1,0,182,2020-06-27,2020-06-27
Harney,1,0,380,2020-06-27,2020-06-27
Hood River,88,0,2225,2020-06-27,2020-06-27
Jackson,97,0,11324,2020-06-27,2020-06-27
Jefferson,94,0,1843,2020-06-27,2020-06-27
Josephine,30,1,3908,2020-06-27,2020-06-27
Klamath,111,0,4670,2020-06-27,2020-06-27
Lake,13,0,233,2020-06-27,2020-06-27
Lane,136,3,21436,2020-06-27,2020-06-27
Lincoln,307,2,4485,2020-06-27,2020-06-27
Linn,140,9,6597,2020-06-27,2020-06-27
Malheur,85,1,1300,2020-06-27,2020-06-27
Marion,1432,41,15968,2020-06-27,2020-06-27
Morrow,53,1,419,2020-06-27,2020-06-27
Multnomah,2087,69,46937,2020-06-27,2020-06-27
Polk,136,12,2753,2020-06-27,2020-06-27
Sherman,1,0,140,2020-06-27,2020-06-27
Tillamook,7,0,1169,2020-06-27,2020-06-27
Umatilla,419,4,3231,2020-06-27,2020-06-27
Union,320,1,1463,2020-06-27,2020-06-27
Wallowa,8,0,409,2020-06-27,2020-06-27
Wasco,60,1,2076,2020-06-27,2020-06-27
Washington,1258,20,29821,2020-06-27,2020-06-27
Wheeler,0,0,116,2020-06-27,2020-06-27
Yamhill,113,8,4892,2020-06-27,2020-06-27
Total,8094,202,219529,2020-06-27,2020-06-27
Baker,1,0,473,2020-06-28,2020-06-28
Benton,82,5,6020,2020-06-28,2020-06-28
Clackamas,699,24,21582,2020-06-28,2020-06-28
Clatsop,49,0,2301,2020-06-28,2020-06-28
Columbia,29,0,2588,2020-06-28,2020-06-28
Coos,40,0,2594,2020-06-28,2020-06-28
Crook,10,0,996,2020-06-28,2020-06-28
Curry,7,0,657,2020-06-28,2020-06-28
Deschutes,170,0,10234,2020-06-28,2020-06-28
Douglas,38,0,4783,2020-06-28,2020-06-28
Gilliam,0,0,89,2020-06-28,2020-06-28
Grant,1,0,185,2020-06-28,2020-06-28
Harney,1,0,382,2020-06-28,2020-06-28
Hood River,88,0,2242,2020-06-28,2020-06-28
Jackson,106,0,11522,2020-06-28,2020-06-28
Jefferson,97,0,1871,2020-06-28,2020-06-28
Josephine,31,1,3971,2020-06-28,2020-06-28
Klamath,111,0,4869,2020-06-28,2020-06-28
Lake,13,0,240,2020-06-28,2020-06-28
Lane,139,3,21830,2020-06-28,2020-06-28
Lincoln,310,2,4521,2020-06-28,2020-06-28
Linn,140,9,6631,2020-06-28,2020-06-28
Malheur,96,1,1327,2020-06-28,2020-06-28
Marion,1475,41,16224,2020-06-28,2020-06-28
Morrow,61,1,447,2020-06-28,2020-06-28
Multnomah,2139,69,47772,2020-06-28,2020-06-28
Polk,139,12,2777,2020-06-28,2020-06-28
Sherman,1,0,140,2020-06-28,2020-06-28
Tillamook,7,0,1181,2020-06-28,2020-06-28
Umatilla,467,4,3347,2020-06-28,2020-06-28
Union,322,1,1524,2020-06-28,2020-06-28
Wallowa,8,0,414,2020-06-28,2020-06-28
Wasco,63,1,2107,2020-06-28,2020-06-28
Washington,1287,20,30322,2020-06-28,2020-06-28
Wheeler,0,0,116,2020-06-28,2020-06-28
Yamhill,114,8,5038,2020-06-28,2020-06-28
Total,8341,202,223317,2020-06-28,2020-06-28
