County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,257,3,"2,762",11/22/2020,11/22/2020
Benton,709,7,"21,746",11/22/2020,11/22/2020
Clackamas,"5,353",76,"90,277",11/22/2020,11/22/2020
Clatsop,333,0,"7,985",11/22/2020,11/22/2020
Columbia,422,3,"10,104",11/22/2020,11/22/2020
Coos,383,1,"10,731",11/22/2020,11/22/2020
Crook,190,6,"3,893",11/22/2020,11/22/2020
Curry,105,2,"2,706",11/22/2020,11/22/2020
Deschutes,"1,911",14,"46,678",11/22/2020,11/22/2020
Douglas,804,15,"18,130",11/22/2020,11/22/2020
Gilliam,21,0,430,11/22/2020,11/22/2020
Grant,122,1,"1,372",11/22/2020,11/22/2020
Harney,86,1,"1,127",11/22/2020,11/22/2020
Hood River,361,1,"6,681",11/22/2020,11/22/2020
Jackson,"3,356",23,"49,176",11/22/2020,11/22/2020
Jefferson,765,11,"6,563",11/22/2020,11/22/2020
Josephine,431,4,"17,204",11/22/2020,11/22/2020
Klamath,685,4,"13,392",11/22/2020,11/22/2020
Lake,98,0,"1,212",11/22/2020,11/22/2020
Lane,"3,820",37,"93,714",11/22/2020,11/22/2020
Lincoln,563,13,"11,599",11/22/2020,11/22/2020
Linn,1260,18,"24,230",11/22/2020,11/22/2020
Malheur,"2,308",39,"7,235",11/22/2020,11/22/2020
Marion,"8,321",127,"72,521",11/22/2020,11/22/2020
Morrow,619,7,"2,405",11/22/2020,11/22/2020
Multnomah,"14,988",210,"209,670",11/22/2020,11/22/2020
Polk,"1,051",15,"14,771",11/22/2020,11/22/2020
Sherman,23,0,445,11/22/2020,11/22/2020
Tillamook,111,0,"4,150",11/22/2020,11/22/2020
Umatilla,"4,099",48,"17,647",11/22/2020,11/22/2020
Union,691,2,"6,007",11/22/2020,11/22/2020
Wallowa,70,2,"1,435",11/22/2020,11/22/2020
Wasco,472,18,"6,853",11/22/2020,11/22/2020
Washington,"8,815",96,"133,636",11/22/2020,11/22/2020
Wheeler,2,0,210,11/22/2020,11/22/2020
Yamhill,"1,565",16,"25,747",11/22/2020,11/22/2020
Total,"65,170",820,"944,444",11/22/2020,11/22/2020
Baker,257,3,2738,11/21/2020,11/21/2020
Benton,702,7,21604,11/21/2020,11/21/2020
Clackamas,5146,76,89661,11/21/2020,11/21/2020
Clatsop,326,0,7927,11/21/2020,11/21/2020
Columbia,415,3,10026,11/21/2020,11/21/2020
Coos,374,1,10629,11/21/2020,11/21/2020
Crook,184,6,3855,11/21/2020,11/21/2020
Curry,105,2,2682,11/21/2020,11/21/2020
Deschutes,1874,14,46120,11/21/2020,11/21/2020
Douglas,793,15,18042,11/21/2020,11/21/2020
Gilliam,21,0,428,11/21/2020,11/21/2020
Grant,109,1,1332,11/21/2020,11/21/2020
Harney,86,1,1122,11/21/2020,11/21/2020
Hood River,355,1,6651,11/21/2020,11/21/2020
Jackson,3302,23,48700,11/21/2020,11/21/2020
Jefferson,757,11,6537,11/21/2020,11/21/2020
Josephine,417,4,17076,11/21/2020,11/21/2020
Klamath,632,4,13149,11/21/2020,11/21/2020
Lake,92,0,1208,11/21/2020,11/21/2020
Lane,3758,37,93100,11/21/2020,11/21/2020
Lincoln,562,13,11559,11/21/2020,11/21/2020
Linn,1233,18,24082,11/21/2020,11/21/2020
Malheur,2292,39,7192,11/21/2020,11/21/2020
Marion,8145,127,72029,11/21/2020,11/21/2020
Morrow,612,7,2388,11/21/2020,11/21/2020
Multnomah,14472,209,208392,11/21/2020,11/21/2020
Polk,1025,15,14642,11/21/2020,11/21/2020
Sherman,23,0,443,11/21/2020,11/21/2020
Tillamook,111,0,4132,11/21/2020,11/21/2020
Umatilla,4052,48,17471,11/21/2020,11/21/2020
Union,686,2,5994,11/21/2020,11/21/2020
Wallowa,70,2,1419,11/21/2020,11/21/2020
Wasco,461,18,6802,11/21/2020,11/21/2020
Washington,8687,96,132688,11/21/2020,11/21/2020
Wheeler,2,0,210,11/21/2020,11/21/2020
Yamhill,1530,16,25549,11/21/2020,11/21/2020
Total,"63,668",819,"937,579",11/21/2020,11/21/2020
