County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,111,2,1967,2020-10-10,2020-10-10
Benton,380,6,15436,2020-10-10,2020-10-10
Clackamas,2707,64,65518,2020-10-10,2020-10-10
Clatsop,229,0,6117,2020-10-10,2020-10-10
Columbia,227,1,7678,2020-10-10,2020-10-10
Coos,196,0,7713,2020-10-10,2020-10-10
Crook,68,1,2784,2020-10-10,2020-10-10
Curry,38,0,2006,2020-10-10,2020-10-10
Deschutes,978,13,33495,2020-10-10,2020-10-10
Douglas,283,4,13841,2020-10-10,2020-10-10
Gilliam,10,0,324,2020-10-10,2020-10-10
Grant,10,0,963,2020-10-10,2020-10-10
Harney,13,0,864,2020-10-10,2020-10-10
Hood River,267,0,5370,2020-10-10,2020-10-10
Jackson,1357,6,36649,2020-10-10,2020-10-10
Jefferson,588,8,5195,2020-10-10,2020-10-10
Josephine,236,2,12951,2020-10-10,2020-10-10
Klamath,380,3,10936,2020-10-10,2020-10-10
Lake,34,0,966,2020-10-10,2020-10-10
Lane,1780,21,70148,2020-10-10,2020-10-10
Lincoln,495,13,9200,2020-10-10,2020-10-10
Linn,660,14,18275,2020-10-10,2020-10-10
Malheur,1770,33,5728,2020-10-10,2020-10-10
Marion,5156,101,53139,2020-10-10,2020-10-10
Morrow,532,6,1896,2020-10-10,2020-10-10
Multnomah,7917,146,153075,2020-10-10,2020-10-10
Polk,582,15,10172,2020-10-10,2020-10-10
Sherman,18,0,358,2020-10-10,2020-10-10
Tillamook,63,0,3281,2020-10-10,2020-10-10
Umatilla,3158,42,13950,2020-10-10,2020-10-10
Union,451,2,4681,2020-10-10,2020-10-10
Wallowa,36,1,1064,2020-10-10,2020-10-10
Wasco,321,14,5428,2020-10-10,2020-10-10
Washington,5004,67,99886,2020-10-10,2020-10-10
Wheeler,0,0,170,2020-10-10,2020-10-10
Yamhill,869,14,18439,2020-10-10,2020-10-10
Total,36924,599,699663,2020-10-10,2020-10-10
Baker,111,2,1976,2020-10-11,2020-10-11
Benton,382,6,15503,2020-10-11,2020-10-11
Clackamas,2742,64,65906,2020-10-11,2020-10-11
Clatsop,229,0,6178,2020-10-11,2020-10-11
Columbia,230,1,7742,2020-10-11,2020-10-11
Coos,196,0,7794,2020-10-11,2020-10-11
Crook,70,1,2797,2020-10-11,2020-10-11
Curry,49,0,2024,2020-10-11,2020-10-11
Deschutes,990,13,33834,2020-10-11,2020-10-11
Douglas,287,4,13949,2020-10-11,2020-10-11
Gilliam,10,0,327,2020-10-11,2020-10-11
Grant,10,0,964,2020-10-11,2020-10-11
Harney,13,0,870,2020-10-11,2020-10-11
Hood River,267,0,5383,2020-10-11,2020-10-11
Jackson,1357,6,36832,2020-10-11,2020-10-11
Jefferson,588,8,5214,2020-10-11,2020-10-11
Josephine,243,2,13013,2020-10-11,2020-10-11
Klamath,385,3,10976,2020-10-11,2020-10-11
Lake,34,0,970,2020-10-11,2020-10-11
Lane,1801,21,70542,2020-10-11,2020-10-11
Lincoln,496,13,9215,2020-10-11,2020-10-11
Linn,671,14,18330,2020-10-11,2020-10-11
Malheur,1775,33,5752,2020-10-11,2020-10-11
Marion,5205,101,53475,2020-10-11,2020-10-11
Morrow,532,6,1902,2020-10-11,2020-10-11
Multnomah,7994,146,154071,2020-10-11,2020-10-11
Polk,586,15,10247,2020-10-11,2020-10-11
Sherman,18,0,358,2020-10-11,2020-10-11
Tillamook,65,0,3293,2020-10-11,2020-10-11
Umatilla,3170,42,14040,2020-10-11,2020-10-11
Union,451,2,4692,2020-10-11,2020-10-11
Wallowa,36,1,1068,2020-10-11,2020-10-11
Wasco,322,14,5450,2020-10-11,2020-10-11
Washington,5066,67,100519,2020-10-11,2020-10-11
Wheeler,1,0,173,2020-10-11,2020-10-11
Yamhill,873,14,18592,2020-10-11,2020-10-11
Total,37255,599,703971,2020-10-11,2020-10-11
