County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,144,3,2334,2020-11-01,2020-11-01
Benton,465,6,19039,2020-11-01,2020-11-01
Clackamas,3383,67,78130,2020-11-01,2020-11-01
Clatsop,257,0,6942,2020-11-01,2020-11-01
Columbia,280,2,8900,2020-11-01,2020-11-01
Coos,271,1,9212,2020-11-01,2020-11-01
Crook,116,4,3245,2020-11-01,2020-11-01
Curry,62,2,2425,2020-11-01,2020-11-01
Deschutes,1267,13,39660,2020-11-01,2020-11-01
Douglas,384,8,15819,2020-11-01,2020-11-01
Gilliam,17,0,370,2020-11-01,2020-11-01
Grant,14,0,1064,2020-11-01,2020-11-01
Harney,39,0,972,2020-11-01,2020-11-01
Hood River,290,1,5987,2020-11-01,2020-11-01
Jackson,1911,7,42722,2020-11-01,2020-11-01
Jefferson,611,10,5835,2020-11-01,2020-11-01
Josephine,277,3,14893,2020-11-01,2020-11-01
Klamath,437,3,12036,2020-11-01,2020-11-01
Lake,47,0,1102,2020-11-01,2020-11-01
Lane,2596,28,83523,2020-11-01,2020-11-01
Lincoln,521,13,10013,2020-11-01,2020-11-01
Linn,890,17,21542,2020-11-01,2020-11-01
Malheur,1985,38,6456,2020-11-01,2020-11-01
Marion,6252,112,62664,2020-11-01,2020-11-01
Morrow,559,7,2117,2020-11-01,2020-11-01
Multnomah,9894,172,181689,2020-11-01,2020-11-01
Polk,695,15,12457,2020-11-01,2020-11-01
Sherman,21,0,394,2020-11-01,2020-11-01
Tillamook,77,0,3715,2020-11-01,2020-11-01
Umatilla,3481,45,15793,2020-11-01,2020-11-01
Union,494,2,5315,2020-11-01,2020-11-01
Wallowa,56,2,1242,2020-11-01,2020-11-01
Wasco,362,16,6060,2020-11-01,2020-11-01
Washington,6230,79,116498,2020-11-01,2020-11-01
Wheeler,1,0,187,2020-11-01,2020-11-01
Yamhill,1043,15,22011,2020-11-01,2020-11-01
Total,45429,691,822363,2020-11-01,2020-11-01
Baker,144,3,2327,2020-10-31,2020-10-31
Benton,464,6,19010,2020-10-31,2020-10-31
Clackamas,3350,66,77546,2020-10-31,2020-10-31
Clatsop,254,0,6905,2020-10-31,2020-10-31
Columbia,274,2,8841,2020-10-31,2020-10-31
Coos,266,1,9085,2020-10-31,2020-10-31
Crook,116,3,3227,2020-10-31,2020-10-31
Curry,60,2,2412,2020-10-31,2020-10-31
Deschutes,1240,13,39453,2020-10-31,2020-10-31
Douglas,376,8,15731,2020-10-31,2020-10-31
Gilliam,17,0,369,2020-10-31,2020-10-31
Grant,12,0,1061,2020-10-31,2020-10-31
Harney,39,0,971,2020-10-31,2020-10-31
Hood River,288,1,5962,2020-10-31,2020-10-31
Jackson,1876,7,42507,2020-10-31,2020-10-31
Jefferson,611,10,5808,2020-10-31,2020-10-31
Josephine,277,3,14831,2020-10-31,2020-10-31
Klamath,433,3,11990,2020-10-31,2020-10-31
Lake,47,0,1100,2020-10-31,2020-10-31
Lane,2564,28,83200,2020-10-31,2020-10-31
Lincoln,519,13,9998,2020-10-31,2020-10-31
Linn,881,17,21491,2020-10-31,2020-10-31
Malheur,1977,38,6437,2020-10-31,2020-10-31
Marion,6121,112,62209,2020-10-31,2020-10-31
Morrow,557,7,2117,2020-10-31,2020-10-31
Multnomah,9780,173,180123,2020-10-31,2020-10-31
Polk,690,15,12371,2020-10-31,2020-10-31
Sherman,21,0,392,2020-10-31,2020-10-31
Tillamook,77,0,3696,2020-10-31,2020-10-31
Umatilla,3476,45,15736,2020-10-31,2020-10-31
Union,493,2,5252,2020-10-31,2020-10-31
Wallowa,55,2,1236,2020-10-31,2020-10-31
Wasco,358,16,6038,2020-10-31,2020-10-31
Washington,6170,78,115583,2020-10-31,2020-10-31
Wheeler,1,0,187,2020-10-31,2020-10-31
Yamhill,1037,15,21826,2020-10-31,2020-10-31
Total,44921,689,817028,2020-10-31,2020-10-31
