County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,94,2,1752,2020-09-26,2020-09-26
Benton,310,6,13175,2020-09-26,2020-09-26
Clackamas,2398,61,60789,2020-09-26,2020-09-26
Clatsop,204,0,5515,2020-09-26,2020-09-26
Columbia,165,1,6942,2020-09-26,2020-09-26
Coos,156,0,6804,2020-09-26,2020-09-26
Crook,62,1,2554,2020-09-26,2020-09-26
Curry,31,0,1789,2020-09-26,2020-09-26
Deschutes,825,12,29466,2020-09-26,2020-09-26
Douglas,227,4,12695,2020-09-26,2020-09-26
Gilliam,8,0,276,2020-09-26,2020-09-26
Grant,9,0,890,2020-09-26,2020-09-26
Harney,12,0,808,2020-09-26,2020-09-26
Hood River,251,0,4971,2020-09-26,2020-09-26
Jackson,1139,5,33152,2020-09-26,2020-09-26
Jefferson,529,8,4690,2020-09-26,2020-09-26
Josephine,198,2,11792,2020-09-26,2020-09-26
Klamath,280,2,10116,2020-09-26,2020-09-26
Lake,32,0,877,2020-09-26,2020-09-26
Lane,1185,17,63598,2020-09-26,2020-09-26
Lincoln,481,13,8649,2020-09-26,2020-09-26
Linn,519,13,16370,2020-09-26,2020-09-26
Malheur,1617,23,5197,2020-09-26,2020-09-26
Marion,4658,94,47452,2020-09-26,2020-09-26
Morrow,498,6,1738,2020-09-26,2020-09-26
Multnomah,7113,137,141020,2020-09-26,2020-09-26
Polk,529,15,8876,2020-09-26,2020-09-26
Sherman,18,0,355,2020-09-26,2020-09-26
Tillamook,52,0,3040,2020-09-26,2020-09-26
Umatilla,2962,41,13033,2020-09-26,2020-09-26
Union,446,2,3592,2020-09-26,2020-09-26
Wallowa,30,1,980,2020-09-26,2020-09-26
Wasco,289,3,5013,2020-09-26,2020-09-26
Washington,4497,60,90985,2020-09-26,2020-09-26
Wheeler,0,0,163,2020-09-26,2020-09-26
Yamhill,757,13,16996,2020-09-26,2020-09-26
Total,32581,546,636090,2020-09-26,2020-09-26
Baker,94,2,1758,2020-09-27,2020-09-27
Benton,310,6,13189,2020-09-27,2020-09-27
Clackamas,2408,61,61008,2020-09-27,2020-09-27
Clatsop,212,0,5534,2020-09-27,2020-09-27
Columbia,171,1,6956,2020-09-27,2020-09-27
Coos,157,0,6873,2020-09-27,2020-09-27
Crook,62,1,2563,2020-09-27,2020-09-27
Curry,31,0,1809,2020-09-27,2020-09-27
Deschutes,840,12,29685,2020-09-27,2020-09-27
Douglas,232,4,12743,2020-09-27,2020-09-27
Gilliam,8,0,278,2020-09-27,2020-09-27
Grant,10,0,893,2020-09-27,2020-09-27
Harney,12,0,812,2020-09-27,2020-09-27
Hood River,251,0,4973,2020-09-27,2020-09-27
Jackson,1148,5,33360,2020-09-27,2020-09-27
Jefferson,534,8,4768,2020-09-27,2020-09-27
Josephine,198,2,11851,2020-09-27,2020-09-27
Klamath,280,2,10153,2020-09-27,2020-09-27
Lake,33,0,880,2020-09-27,2020-09-27
Lane,1210,17,64023,2020-09-27,2020-09-27
Lincoln,482,13,8645,2020-09-27,2020-09-27
Linn,522,13,16401,2020-09-27,2020-09-27
Malheur,1627,23,5210,2020-09-27,2020-09-27
Marion,4683,94,47641,2020-09-27,2020-09-27
Morrow,499,6,1742,2020-09-27,2020-09-27
Multnomah,7184,138,141456,2020-09-27,2020-09-27
Polk,530,15,8935,2020-09-27,2020-09-27
Sherman,18,0,337,2020-09-27,2020-09-27
Tillamook,53,0,3043,2020-09-27,2020-09-27
Umatilla,2976,41,13054,2020-09-27,2020-09-27
Union,446,2,3584,2020-09-27,2020-09-27
Wallowa,31,1,984,2020-09-27,2020-09-27
Wasco,292,3,5064,2020-09-27,2020-09-27
Washington,4519,60,91221,2020-09-27,2020-09-27
Wheeler,0,0,163,2020-09-27,2020-09-27
Yamhill,757,13,17081,2020-09-27,2020-09-27
Total,32820,547,638670,2020-09-27,2020-09-27
