County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,90,2,1464,2020-09-13,2020-09-13
Benton,244,6,11618,2020-09-13,2020-09-13
Clackamas,2151,59,55254,2020-09-13,2020-09-13
Clatsop,102,0,5109,2020-09-13,2020-09-13
Columbia,143,1,6392,2020-09-13,2020-09-13
Coos,131,0,6094,2020-09-13,2020-09-13
Crook,59,1,2388,2020-09-13,2020-09-13
Curry,26,0,1518,2020-09-13,2020-09-13
Deschutes,723,12,26778,2020-09-13,2020-09-13
Douglas,188,3,11734,2020-09-13,2020-09-13
Gilliam,5,0,257,2020-09-13,2020-09-13
Grant,8,0,822,2020-09-13,2020-09-13
Harney,12,0,742,2020-09-13,2020-09-13
Hood River,238,0,4660,2020-09-13,2020-09-13
Jackson,967,3,30127,2020-09-13,2020-09-13
Jefferson,487,8,4404,2020-09-13,2020-09-13
Josephine,178,2,10860,2020-09-13,2020-09-13
Klamath,242,2,9487,2020-09-13,2020-09-13
Lake,29,0,803,2020-09-13,2020-09-13
Lane,846,13,57417,2020-09-13,2020-09-13
Lincoln,473,13,8206,2020-09-13,2020-09-13
Linn,431,13,14994,2020-09-13,2020-09-13
Malheur,1407,22,4632,2020-09-13,2020-09-13
Marion,4248,87,43598,2020-09-13,2020-09-13
Morrow,471,4,1602,2020-09-13,2020-09-13
Multnomah,6556,127,129827,2020-09-13,2020-09-13
Polk,481,15,8013,2020-09-13,2020-09-13
Sherman,18,0,321,2020-09-13,2020-09-13
Tillamook,45,0,2801,2020-09-13,2020-09-13
Umatilla,2844,41,12275,2020-09-13,2020-09-13
Union,431,2,3237,2020-09-13,2020-09-13
Wallowa,23,1,888,2020-09-13,2020-09-13
Wasco,227,3,4584,2020-09-13,2020-09-13
Washington,4107,55,84413,2020-09-13,2020-09-13
Wheeler,0,0,157,2020-09-13,2020-09-13
Yamhill,706,14,15807,2020-09-13,2020-09-13
Total,29337,509,583283,2020-09-13,2020-09-13
Baker,90,2,1459,2020-09-12,2020-09-12
Benton,243,6,11592,2020-09-12,2020-09-12
Clackamas,2142,59,55049,2020-09-12,2020-09-12
Clatsop,102,0,5094,2020-09-12,2020-09-12
Columbia,143,1,6379,2020-09-12,2020-09-12
Coos,131,0,6023,2020-09-12,2020-09-12
Crook,59,1,2385,2020-09-12,2020-09-12
Curry,25,0,1511,2020-09-12,2020-09-12
Deschutes,720,12,26552,2020-09-12,2020-09-12
Douglas,187,3,11717,2020-09-12,2020-09-12
Gilliam,4,0,257,2020-09-12,2020-09-12
Grant,8,0,821,2020-09-12,2020-09-12
Harney,12,0,742,2020-09-12,2020-09-12
Hood River,238,0,4651,2020-09-12,2020-09-12
Jackson,954,3,30043,2020-09-12,2020-09-12
Jefferson,486,8,4392,2020-09-12,2020-09-12
Josephine,174,2,10811,2020-09-12,2020-09-12
Klamath,242,2,9450,2020-09-12,2020-09-12
Lake,29,0,805,2020-09-12,2020-09-12
Lane,838,12,57082,2020-09-12,2020-09-12
Lincoln,472,13,8210,2020-09-12,2020-09-12
Linn,427,13,14966,2020-09-12,2020-09-12
Malheur,1381,22,4626,2020-09-12,2020-09-12
Marion,4222,85,43465,2020-09-12,2020-09-12
Morrow,470,4,1600,2020-09-12,2020-09-12
Multnomah,6522,128,129384,2020-09-12,2020-09-12
Polk,474,15,7980,2020-09-12,2020-09-12
Sherman,18,0,321,2020-09-12,2020-09-12
Tillamook,45,0,2790,2020-09-12,2020-09-12
Umatilla,2839,41,12273,2020-09-12,2020-09-12
Union,431,2,3160,2020-09-12,2020-09-12
Wallowa,23,1,885,2020-09-12,2020-09-12
Wasco,226,3,4574,2020-09-12,2020-09-12
Washington,4073,53,84020,2020-09-12,2020-09-12
Wheeler,0,0,157,2020-09-12,2020-09-12
Yamhill,706,14,15722,2020-09-12,2020-09-12
Total,29156,505,580948,2020-09-12,2020-09-12
