County,Cases1,Total deaths2,Negative tests3,date,Scraped.data
Baker,77,2,1402,2020-09-05,2020-09-05
Benton,223,6,10971,2020-09-05,2020-09-05
Clackamas,2045,58,52996,2020-09-05,2020-09-05
Clatsop,97,0,4960,2020-09-05,2020-09-05
Columbia,134,1,6091,2020-09-05,2020-09-05
Coos,126,0,5661,2020-09-05,2020-09-05
Crook,57,1,2330,2020-09-05,2020-09-05
Curry,22,0,1426,2020-09-05,2020-09-05
Deschutes,700,11,25092,2020-09-05,2020-09-05
Douglas,180,3,10923,2020-09-05,2020-09-05
Gilliam,4,0,246,2020-09-05,2020-09-05
Grant,8,0,783,2020-09-05,2020-09-05
Harney,12,0,719,2020-09-05,2020-09-05
Hood River,238,0,4529,2020-09-05,2020-09-05
Jackson,882,3,25326,2020-09-05,2020-09-05
Jefferson,470,7,4287,2020-09-05,2020-09-05
Josephine,171,2,9409,2020-09-05,2020-09-05
Klamath,236,2,9155,2020-09-05,2020-09-05
Lake,30,0,754,2020-09-05,2020-09-05
Lane,775,6,55056,2020-09-05,2020-09-05
Lincoln,469,13,8004,2020-09-05,2020-09-05
Linn,399,13,14313,2020-09-05,2020-09-05
Malheur,1280,20,4403,2020-09-05,2020-09-05
Marion,4013,82,41618,2020-09-05,2020-09-05
Morrow,454,3,1548,2020-09-05,2020-09-05
Multnomah,6224,124,123592,2020-09-05,2020-09-05
Polk,445,15,7620,2020-09-05,2020-09-05
Sherman,18,0,308,2020-09-05,2020-09-05
Tillamook,41,0,2698,2020-09-05,2020-09-05
Umatilla,2767,39,11929,2020-09-05,2020-09-05
Union,423,2,3019,2020-09-05,2020-09-05
Wallowa,23,1,858,2020-09-05,2020-09-05
Wasco,219,3,4410,2020-09-05,2020-09-05
Washington,3932,49,80670,2020-09-05,2020-09-05
Wheeler,0,0,155,2020-09-05,2020-09-05
Yamhill,662,14,14990,2020-09-05,2020-09-05
Total,27856,480,552251,2020-09-05,2020-09-05
Baker,77,2,1405,2020-09-06,2020-09-06
Benton,226,6,11085,2020-09-06,2020-09-06
Clackamas,2063,58,53425,2020-09-06,2020-09-06
Clatsop,97,0,4984,2020-09-06,2020-09-06
