Store  [pdx]	Address	Mon	Tue	Wed	Thu	Fri	Sat	Sun
Agness	04219 Agness Rd 97406 (541-247-7233)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm
Albany	1236 Pacific Blvd SE 97321 (541-248-3565)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–5pm
Albany East	2530 Pacific Blvd SE 97321 (541-926-2887)	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–9pm	9am–9pm	10am–6pm
Albany North	621 NW Hickory St 97321 (541-928-7402)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Aloha Farmington	17455 SW Farmington Rd Ste 30A 97007 (503-649-6155)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	10am–7pm	10am–7pm	(closed)
Amity	520 S. Trade St 97101 (503-835-0300)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Arlington	200 Arlington Mall 97812 (541-454-2633)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	10am–2pm
Ashland	40 Lithia Way 97520 (541-482-4258)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–6pm
Ashland South	1522 Siskiyou Blvd 97520 (541-708-6615)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Astoria	730 Bond Street, Suite A 97103 (503-325-4784)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	11am–4pm
Athena	313 E. Main St 97813 (541-566-2396)	6am–9pm	6am–9pm	6am–9pm	6am–9pm	6am–9pm	6am–9pm	6am–9pm
Baker City	1250 Campbell St 97814 (541-523-5022)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–7pm	1pm–5pm
Bandon	1225 Oregon Ave. 97411 (541-347-2106)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–6pm
Banks	12350 NW Main Street, Suite 100 97106 (503-324-2171)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Beaverton Allen Blvd	14334 SW Allen Blvd 97005 (503-644-2235)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–6pm
Beaverton Cedar Hills	3280 SW Cedar Hills Blvd 97005 (971-864-6155)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm
Beaverton Murray Schlls	14700 SW Murray Scholls Dr.Ste104 97007 (503-521-9032)	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–9pm	12pm–6pm
Beaverton Progress	8616 SW Hall Blvd 97008 (503-646-2875)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–5pm
Beaverton Town Square	11423 SW Beaverton/Hillsdale Hwy 97005 (503-644-7567)	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	11am–9pm
Bend 3rd St	740 NE Third St, Ste 5 97701 (541-797-0028)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–7pm
Bend East	2220 NE Highway 20, Ste. 1 97701 (541-318-2977)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–10pm	9am–10pm	10am–7pm
Bend Newport Ave	1121 NW Newport Ave 97703 (541-382-3940)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Bend North	2040 NE 3rd Street #108 97701 (541-382-7050)	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–10pm	9am–10pm	10am–6pm
Bend Robal Plaza	20516 Robal Lane, Suite 130 97701 (541-306-3747)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–6pm
Bend South	61153 S Highway 97 97702 (541-388-0692)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–7pm
Bend West	155 SW Century Dr., Suite 100 97702 (541-312-2229)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–7pm
